fecha,nombre_n3,USADOS
feb 19,Nuestra Sra. de Lourdes,9403
feb 19,Alberto Olmedo,9610
mar 19,Nuestra Sra. de Lourdes,9439
mar 19,Remedios Escalada de San Martín,9088
mar 19,Centro,8906
mar 19,Luis Agote,8482
mar 19,Alberto Olmedo,9840
mar 19,Barrio del Abasto,8852
abr 19,Centro,9009
abr 19,Luis Agote,8653
abr 19,Remedios Escalada de San Martín,9338
abr 19,Alberto Olmedo,9857
abr 19,Barrio del Abasto,9129
abr 19,Nuestra Sra. de Lourdes,9361
may 19,Luis Agote,8760
may 19,Centro,9159
may 19,Alberto Olmedo,9956
may 19,Barrio del Abasto,9358
may 19,Nuestra Sra. de Lourdes,9562
may 19,Remedios Escalada de San Martín,9488
jun 19,Remedios Escalada de San Martín,9515
jun 19,Barrio del Abasto,9599
jun 19,Nuestra Sra. de Lourdes,9905
jun 19,Alberto Olmedo,9966
jun 19,Luis Agote,8989
jun 19,Centro,9263
jul 19,Luis Agote,9067
jul 19,Remedios Escalada de San Martín,9821
jul 19,Nuestra Sra. de Lourdes,10199
jul 19,Barrio del Abasto,9731
jul 19,Alberto Olmedo,9823
jul 19,Centro,9311
ago 19,Luis Agote,9135
ago 19,Nuestra Sra. de Lourdes,10340
ago 19,Remedios Escalada de San Martín,10007
ago 19,Barrio del Abasto,9856
ago 19,Centro,9543
ago 19,Alberto Olmedo,10001
sep 19,Barrio del Abasto,9849
sep 19,Centro,9763
sep 19,Alberto Olmedo,10449
sep 19,Luis Agote,9336
sep 19,Remedios Escalada de San Martín,9990
sep 19,Nuestra Sra. de Lourdes,10526
oct 19,Centro,9830
oct 19,Nuestra Sra. de Lourdes,10804
oct 19,Barrio del Abasto,9947
oct 19,Alberto Olmedo,10900
oct 19,Luis Agote,9797
oct 19,Remedios Escalada de San Martín,10316
nov 19,Barrio del Abasto,10587
nov 19,Alberto Olmedo,11225
nov 19,Luis Agote,10421
nov 19,Remedios Escalada de San Martín,10774
nov 19,Centro,9963
nov 19,Nuestra Sra. de Lourdes,11171
dic 19,Barrio del Abasto,11500
dic 19,Alberto Olmedo,11666
dic 19,Centro,10284
dic 19,Remedios Escalada de San Martín,11026
dic 19,Luis Agote,10853
dic 19,Nuestra Sra. de Lourdes,11939
ene 20,Centro,10619
ene 20,Luis Agote,10663
ene 20,Barrio del Abasto,12123
ene 20,Nuestra Sra. de Lourdes,12578
ene 20,Alberto Olmedo,12132
ene 20,Remedios Escalada de San Martín,11463
feb 20,Luis Agote,11149
feb 20,Nuestra Sra. de Lourdes,12936
feb 20,Barrio del Abasto,12324
feb 20,Alberto Olmedo,12273
feb 20,Centro,10839
feb 20,Remedios Escalada de San Martín,11776
mar 20,Centro,11187
mar 20,Barrio del Abasto,12585
mar 20,Remedios Escalada de San Martín,11901
mar 20,Nuestra Sra. de Lourdes,13327
mar 20,Alberto Olmedo,12598
mar 20,Luis Agote,11878
abr 20,Remedios Escalada de San Martín,12102
abr 20,Nuestra Sra. de Lourdes,13391
abr 20,Centro,11308
abr 20,Luis Agote,11522
abr 20,Barrio del Abasto,12612
abr 20,Alberto Olmedo,12970
may 20,Alberto Olmedo,13532
may 20,Barrio del Abasto,12526
may 20,Remedios Escalada de San Martín,12237
may 20,Luis Agote,11161
may 20,Centro,11578
may 20,Nuestra Sra. de Lourdes,13315
jun 20,Remedios Escalada de San Martín,12329
jun 20,Alberto Olmedo,13807
jun 20,Centro,12123
jun 20,Nuestra Sra. de Lourdes,13570
jun 20,Luis Agote,11409
jun 20,Barrio del Abasto,12864
jul 20,Remedios Escalada de San Martín,13180
jul 20,Nuestra Sra. de Lourdes,14639
jul 20,Luis Agote,12656
jul 20,Alberto Olmedo,14182
jul 20,Centro,12858
jul 20,Barrio del Abasto,13772
ago 20,Centro,13924
ago 20,Luis Agote,14113
ago 20,Alberto Olmedo,15167
ago 20,Nuestra Sra. de Lourdes,15769
ago 20,Barrio del Abasto,14681
ago 20,Remedios Escalada de San Martín,14683
sep 20,Remedios Escalada de San Martín,15188
sep 20,Luis Agote,14624
sep 20,Centro,14700
sep 20,Alberto Olmedo,16202
sep 20,Barrio del Abasto,15079
sep 20,Nuestra Sra. de Lourdes,16104
