fecha,nombre_n3,ESTRENAR
mar 19,Nuestra Sra. de Lourdes,10577
mar 19,Remedios Escalada de San Martín,9221
mar 19,Centro,10435
mar 19,Luis Agote,null
mar 19,Alberto Olmedo,10048
mar 19,Barrio del Abasto,null
abr 19,Centro,10255
abr 19,Luis Agote,null
abr 19,Remedios Escalada de San Martín,9417
abr 19,Alberto Olmedo,10143
abr 19,Barrio del Abasto,null
abr 19,Nuestra Sra. de Lourdes,9634
may 19,Luis Agote,null
may 19,Centro,10593
may 19,Alberto Olmedo,10446
may 19,Barrio del Abasto,null
may 19,Nuestra Sra. de Lourdes,9540
may 19,Remedios Escalada de San Martín,9701
jun 19,Remedios Escalada de San Martín,10042
jun 19,Barrio del Abasto,null
jun 19,Nuestra Sra. de Lourdes,9601
jun 19,Alberto Olmedo,11137
jun 19,Luis Agote,null
jun 19,Centro,10712
jul 19,Luis Agote,null
jul 19,Remedios Escalada de San Martín,10212
jul 19,Nuestra Sra. de Lourdes,9876
jul 19,Barrio del Abasto,null
jul 19,Alberto Olmedo,10655
jul 19,Centro,10731
ago 19,Luis Agote,null
ago 19,Nuestra Sra. de Lourdes,10327
ago 19,Remedios Escalada de San Martín,10444
ago 19,Barrio del Abasto,null
ago 19,Centro,11607
ago 19,Alberto Olmedo,10815
sep 19,Barrio del Abasto,null
sep 19,Centro,12194
sep 19,Alberto Olmedo,11750
sep 19,Luis Agote,null
sep 19,Remedios Escalada de San Martín,10786
sep 19,Nuestra Sra. de Lourdes,10623
oct 19,Centro,11950
oct 19,Nuestra Sra. de Lourdes,11461
oct 19,Barrio del Abasto,null
oct 19,Alberto Olmedo,11530
oct 19,Luis Agote,null
oct 19,Remedios Escalada de San Martín,11024
nov 19,Barrio del Abasto,null
nov 19,Alberto Olmedo,10894
nov 19,Luis Agote,null
nov 19,Remedios Escalada de San Martín,11257
nov 19,Centro,12427
nov 19,Nuestra Sra. de Lourdes,11559
dic 19,Barrio del Abasto,null
dic 19,Alberto Olmedo,11643
dic 19,Centro,12753
dic 19,Remedios Escalada de San Martín,11570
dic 19,Luis Agote,null
dic 19,Nuestra Sra. de Lourdes,11674
ene 20,Centro,12496
ene 20,Luis Agote,null
ene 20,Barrio del Abasto,null
ene 20,Nuestra Sra. de Lourdes,12707
ene 20,Alberto Olmedo,12344
ene 20,Remedios Escalada de San Martín,11689
feb 20,Luis Agote,null
feb 20,Nuestra Sra. de Lourdes,12519
feb 20,Barrio del Abasto,null
feb 20,Alberto Olmedo,13185
feb 20,Centro,12992
feb 20,Remedios Escalada de San Martín,11374
mar 20,Centro,13719
mar 20,Barrio del Abasto,null
mar 20,Remedios Escalada de San Martín,11750
mar 20,Nuestra Sra. de Lourdes,13017
mar 20,Alberto Olmedo,13375
mar 20,Luis Agote,null
abr 20,Remedios Escalada de San Martín,12074
abr 20,Nuestra Sra. de Lourdes,13627
abr 20,Centro,13675
abr 20,Luis Agote,null
abr 20,Barrio del Abasto,null
abr 20,Alberto Olmedo,12823
may 20,Alberto Olmedo,13675
may 20,Barrio del Abasto,null
may 20,Remedios Escalada de San Martín,12120
may 20,Luis Agote,null
may 20,Centro,13635
may 20,Nuestra Sra. de Lourdes,14252
jun 20,Remedios Escalada de San Martín,11930
jun 20,Alberto Olmedo,15085
jun 20,Centro,14047
jun 20,Nuestra Sra. de Lourdes,14267
jun 20,Luis Agote,null
jun 20,Barrio del Abasto,null
jul 20,Remedios Escalada de San Martín,12364
jul 20,Nuestra Sra. de Lourdes,13762
jul 20,Luis Agote,null
jul 20,Alberto Olmedo,16665
jul 20,Centro,14971
jul 20,Barrio del Abasto,null
ago 20,Centro,15686
ago 20,Luis Agote,null
ago 20,Alberto Olmedo,17464
ago 20,Nuestra Sra. de Lourdes,13814
ago 20,Barrio del Abasto,null
ago 20,Remedios Escalada de San Martín,14321
sep 20,Remedios Escalada de San Martín,14970
sep 20,Luis Agote,null
sep 20,Centro,15953
sep 20,Alberto Olmedo,17443
sep 20,Barrio del Abasto,null
sep 20,Nuestra Sra. de Lourdes,14603
oct 20,Barrio del Abasto,null
oct 20,Remedios Escalada de San Martín,15063
oct 20,Luis Agote,null
oct 20,Centro,16788
oct 20,Nuestra Sra. de Lourdes,17481
oct 20,Alberto Olmedo,18207
nov 20,Alberto Olmedo,18906
nov 20,Nuestra Sra. de Lourdes,18854
nov 20,Remedios Escalada de San Martín,16557
nov 20,Centro,17455
nov 20,Luis Agote,null
nov 20,Barrio del Abasto,null
dic 20,Remedios Escalada de San Martín,18080
dic 20,Luis Agote,null
dic 20,Alberto Olmedo,18505
dic 20,Barrio del Abasto,null
dic 20,Centro,17592
dic 20,Nuestra Sra. de Lourdes,19530
ene 21,Remedios Escalada de San Martín,18443
ene 21,Luis Agote,null
ene 21,Barrio del Abasto,null
ene 21,Nuestra Sra. de Lourdes,21267
ene 21,Alberto Olmedo,18517
ene 21,Centro,17174
feb 21,Barrio del Abasto,null
feb 21,Luis Agote,null
feb 21,Nuestra Sra. de Lourdes,22043
feb 21,Centro,17576
feb 21,Remedios Escalada de San Martín,19582
feb 21,Alberto Olmedo,19521
mar. 21,Remedios Escalada de San Martín,21147
mar. 21,Centro,20014
mar. 21,Nuestra Sra. de Lourdes,21647
mar. 21,Luis Agote,null
mar. 21,Barrio del Abasto,null
mar. 21,Alberto Olmedo,21005
abr. 21,Nuestra Sra. de Lourdes,21728
abr. 21,Luis Agote,null
abr. 21,Barrio del Abasto,null
abr. 21,Alberto Olmedo,22388
abr. 21,Centro,21690
abr. 21,Remedios Escalada de San Martín,21684
may 21,Alberto Olmedo,25942
may 21,Luis Agote,null
may 21,Centro,22940
may 21,Nuestra Sra. de Lourdes,22309
may 21,Barrio del Abasto,null
may 21,Remedios Escalada de San Martín,23220
jun 21,Barrio del Abasto,null
jun 21,Nuestra Sra. de Lourdes,22854
jun 21,Remedios Escalada de San Martín,23587
jun 21,Alberto Olmedo,29197
